,title,week,rank,star_mean,large_genre,small_genre,heart,isnovel,america_title,america_rank
0,참교육,mon,1,9.86,스토리,액션,20645,0,Get Schooled,8
1,신화급 귀속 ,mon,7,9.88,스토리,판타지,477,1,Mythic Item Obtained,13
2,소녀의 세계,mon,13,9.93,스토리,드라마,99999,0,Odd Girl Out,11
3,북부 공작님을,mon,20,9.96,스토리,로맨스,535,1,Charming the Duke of the North,22
4,꼬리잡기,mon,21,9.94,스토리,스릴러,1491,0,Chasing Tails,40
5,물어보는 사이,mon,22,9.96,스토리,로맨스,1766,0,Bitten Contract,14
6,황제와의 하룻밤,mon,33,9.94,스토리,로맨스,2255,1,His Majesty's Proposal ,8
7,다시쓰는 연애사,mon,39,9.97,스토리,로맨스,334,0,Rewriting Our Love Story,35
8,이제야 연애,mon,44,9.96,스토리,로맨스,848,1,A Chance At Last,19
9,원작은 완결난,mon,49,9.97,스토리,로맨스,379,1,Long After the Ending,22
10,악녀 18세 ,mon,64,9.96,스토리,로맨스,254,0,Rewriting the Villainess,30
11,슈퍼스타 천대리,mon,75,9.81,스토리,감성,132,1,Superstar Associate Manager,54
12,별을 쫓는 소,mon,80,8.96,스토리,판타지,375,1,THE STAR SEEKERS,37
13,김부장,tue,1,9.29,스토리,액션,2146,0,Manager Kim,25
14,여신강림,tue,4,9.39,스토리,로맨스,99999,0,True Beauty,1
15,내가 키운 S,tue,5,9.94,스토리,판타지,2654,1,My S-Class Hunters,11
16,멸망 이후의 ,tue,8,9.92,스토리,판타지,1173,1,The World After the Fall,6
17,하루만 네가 ,tue,11,9.98,스토리,로맨스,99999,0,Your Throne,65
18,용사가 돌아왔다,tue,12,9.38,스토리,액션,1962,1,The Warrior Returns,23
19,천마는 평범하,tue,13,9.11,스토리,판타지,784,1,Descended from Divinity ,50
20,올가미,tue,23,9.98,스토리,드라마,89100,1,Trapped,39
21,DARK MO,tue,30,9.46,스토리,판타지,23,1,DARK MOON: THE BLOOD ALTAR,5
22,빌런투킬,tue,40,9.9,스토리,판타지,1879,0,Villain to Kill,6
23,또 다른 사랑,tue,47,9.97,스토리,드라마,360,1,Another Love,20
24,내남친 킹카만,tue,50,9.82,스토리,로맨스,217,0,My Dud to Stud Boyfriend,21
25,교환학생,tue,72,9.87,스토리,드라마,321,0,Exchange Student,44
26,내 남편과 결,wed,1,9.95,스토리,로맨스,3250,1,Marry My Husband,1
27,전지적 독자 ,wed,2,9.95,스토리,판타지,99999,1,Omniscient Reader,3
28,일렉시드,wed,7,9.85,스토리,액션,99999,0,Eleceed ,5
29,여고생 드래곤,wed,8,9.97,스토리,스포츠,99999,0,Teenage Dragon,42
30,내가 죽기로 ,wed,11,9.97,스토리,로맨스,2064,0,My Reason to Die,17
31,66666년 ,wed,14,9.94,스토리,판타지,1665,1,"66,666 Years: Advent of the Dark Mage",60
32,하렘의 남자들,wed,15,9.95,스토리,로맨스,9297,1,Men of the Harem,64
33,마른 가지에 ,wed,16,9.98,스토리,로맨스,70490,1,Like Wind on a Dry Branch,4
34,칼에 취한 밤,wed,20,9.89,스토리,무협/사극,295,1,A Dance of Swords in the Night,34
35,쓰레기는 쓰레,wed,28,9.97,스토리,로맨스,822,0,Trash Belongs in the Trash Can!,14
36,물고기로 살아,wed,35,9.63,스토리,판타지,189,0,Surviving as a Fish,24
37,괴물공작의 딸,wed,45,9.62,스토리,판타지,1209,0,Monster Duke's Daughter,45
38,좀간,wed,56,9.95,스토리,액션,290,0,ZOMGAN,16
39,재벌집 막내아들,thu,1,9.96,스토리,드라마,689,1,Reborn Rich,15
40,나노마신,thu,3,9.92,스토리,무협/사극,57943,1,Nano Machine,51
41,현실퀘스트,thu,8,9.85,스토리,로맨스,448,0,Reality Quest,9
42,나 혼자 네크,thu,9,9.93,스토리,판타지,1027,0,The Lone Necromancer,11
43,회귀한 천재 ,thu,12,9.64,스토리,판타지,279,1,The Dungeon Cleaning Life of a Once Genius Hunter,8
44,별을 삼킨 너,thu,14,9.93,스토리,로맨스,67557,0,To You Who Swallowed a Star,11
45,버려진 나의 ,thu,16,9.96,스토리,로맨스,804,1,For My Derelict Favorite,7
46,쿠베라,thu,18,9.96,스토리,판타지,99999,0,Kubera,49
47,국세청 망나니,thu,28,9.91,스토리,드라마,339,1,The Tax Reaper,37
48,완벽한 결혼의,thu,33,9.84,스토리,로맨스,1221,1,Perfect Marriage Revenge,12
49,선남친 후연애,thu,42,9.91,스토리,로맨스,691,1,"Date First, Love Later",29
50,THE 런웨이,thu,52,9.81,스토리,로맨스,443,1,The RUNWAY,10
51,"오, 친애하는",thu,59,9.97,스토리,로맨스,315,1,Dear Nemesis,13
52,자취방 신선들,thu,80,9.95,스토리,드라마,4139,0,Heavenly Roommates,52
